city,country,latitude,longitude,max_temp,humidity,windspeed,cloudiness
Ciudad Real,ES,38.99,-3.93,71.01,59,4.07,0
Werda,BW,-25.27,23.28,56.13,15,9.06,0
Horki,BY,54.29,30.98,40.61,76,5.28,0
Lafiagi,NG,8.85,5.42,77.11,89,2.75,24
Hofn,IS,64.25,-15.21,40.45,98,8.52,100
Tagusao,PH,9.19,117.81,79.76,79,3.47,0
Namatanai,PG,-3.66,152.44,79.71,78,8.46,53
La Ronge,CA,55.1,-105.3,50.0,46,12.75,75
Plaster Rock,CA,46.91,-67.4,64.4,77,8.05,90
Puerto Escondido,MX,15.86,-97.07,87.8,70,5.82,75
Vanimo,PG,-2.67,141.3,80.97,78,6.64,44
Hudson Bay,CA,52.86,-102.4,49.34,42,6.33,100
Breves,BR,-1.68,-50.48,86.76,55,5.19,92
Boyolangu,ID,-8.09,111.9,67.16,92,5.82,99
Young,UY,-32.7,-57.63,75.99,43,1.99,6
Aklavik,CA,68.22,-135.01,39.2,60,6.93,75
Jian,IN,25.65,87.89,73.03,94,3.6,100
Verkhnyaya Inta,RU,65.99,60.32,33.32,97,2.95,100
Fortuna,ES,38.18,-1.13,73.99,94,2.24,20
San Vicente,EC,-0.59,-80.41,78.8,74,9.17,75
Horadiz,AZ,39.45,47.33,66.2,82,11.41,0
Nhulunbuy,AU,-12.18,136.78,73.4,88,4.7,13
Pacocha,EC,-1.05,-80.87,78.8,74,9.17,75
Luanda,AO,-8.83,13.24,73.4,94,5.82,20
Jiujiang,CN,29.73,115.99,63.94,61,0.43,100
Alvand,IR,36.19,50.06,58.79,35,1.14,0
Longyearbyen,NO,78.22,15.63,41.0,80,11.41,75
Pamanukan,ID,-6.28,107.82,72.34,75,3.15,77
Rio Gallegos,AR,-51.62,-69.22,55.4,30,3.36,0
Ribeira Grande,PT,38.52,-28.7,72.54,88,10.22,0
Angoram,PG,-4.06,144.07,73.93,97,1.92,97
Santona,ES,43.44,-3.46,66.2,87,2.35,75
Kadugannawa,LK,7.26,80.52,70.24,92,2.06,91
Potosi,BO,-19.59,-65.75,49.88,36,14.29,60
San Quintin,PH,17.54,120.52,73.6,88,2.98,0
Sechura,PE,-5.56,-80.82,62.28,94,19.55,70
Port Lincoln,AU,-34.72,135.86,56.38,83,20.6,4
Kalianget,ID,-7.35,109.91,77.0,88,1.19,40
Martinez,US,38.01,-122.13,84.0,53,13.87,1
Pascagoula,US,30.37,-88.56,95.0,66,6.93,1
Tateyama,JP,36.66,137.31,71.01,93,2.24,20
Tuatapere,NZ,-46.13,167.69,50.0,92,10.0,97
Ubinskoye,RU,55.31,79.68,34.08,62,7.96,73
Xichang,CN,27.88,102.25,45.87,94,2.19,99
Lagoa,PT,37.14,-8.45,70.0,77,8.05,0
Chapais,CA,49.78,-74.86,50.0,81,14.99,75
Leningradskiy,RU,69.38,178.42,27.74,77,14.47,99
Thunder Bay,CA,48.41,-89.26,61.0,55,13.87,75
Butembo,CD,0.12,29.29,62.8,97,1.81,100
Isangel,VU,-19.55,169.27,73.4,73,6.93,75
Nurlat,RU,54.43,50.8,34.42,85,6.82,55
Fuerte Olimpo,BR,-21.04,-57.87,92.02,26,6.46,67
Novoagansk,RU,61.94,76.66,34.63,94,11.56,100
Parintins,BR,-2.63,-56.73,79.08,75,5.75,100
Lityn,UA,49.32,28.09,52.35,94,1.68,40
Port-Gentil,GA,-0.72,8.78,78.8,88,9.17,75
Klaksvik,FO,62.23,-6.59,53.6,87,26.4,100
Faya,SA,18.39,42.45,69.8,43,6.93,0
Shelburne,CA,44.08,-80.2,64.99,45,14.99,20
Corning,US,42.14,-77.05,69.01,55,8.05,1
Prainha,BR,-1.8,-53.48,86.96,55,4.12,69
Katsuura,JP,33.93,134.5,75.2,94,3.36,75
Deputatskiy,RU,69.3,139.9,18.63,92,4.41,100
Taoudenni,ML,22.68,-3.98,98.01,9,5.61,2
Tucupita,VE,9.06,-62.05,90.02,57,4.81,13
Ornskoldsvik,SE,63.29,18.72,39.2,100,3.36,21
Avera,US,33.19,-82.53,98.6,36,4.7,75
Talnakh,RU,69.49,88.39,32.0,87,6.71,40
Chifeng,CN,42.27,118.96,55.1,41,6.24,0
Nanga Eboko,CM,4.68,12.37,68.44,98,2.86,78
Port Hardy,CA,50.7,-127.42,57.2,67,14.99,20
Puerto Baquerizo Moreno,EC,-0.9,-89.6,71.6,78,9.17,75
Vir,BA,43.52,17.21,62.6,88,3.36,0
Boyuibe,BO,-20.43,-63.28,87.8,25,5.82,96
Batemans Bay,AU,-35.71,150.18,55.99,74,5.01,0
Buraydah,SA,26.33,43.97,84.2,23,6.93,0
Moron,HT,18.56,-74.26,83.72,75,15.12,68
Carnduff,CA,49.17,-101.8,48.0,95,5.99,100
Paredon,BO,-18.93,-65.16,64.4,39,13.87,20
